装等,entry,旧名称,新名称,槽位,定位
230,99423,秘星·星纱冠冕洞察,暮光审判官临世头巾,头部,法系输出
230,99424,秘星·星纱冠冕迅捷,潮汐之兜帽,头部,法系输出
230,99425,秘星·星纱冠冕破阵,秘术面罩,头部,法系输出
230,99426,秘星·星纱冠冕无瑕,咒术头冠,头部,法系输出
230,99427,秘星·星纱肩卫洞察,风暴峭壁肩饰,肩部,法系输出
230,99428,秘星·星纱肩卫迅捷,蓝龙军团肩饰,肩部,法系输出
230,99429,秘星·星纱肩卫破阵,御风者降临衬肩,肩部,法系输出
230,99430,秘星·星纱肩卫无瑕,诅咒之城肩巾,肩部,法系输出
230,99431,秘星·星纱法衣洞察,黎明·长袍,胸部,法系输出
230,99432,秘星·星纱法衣迅捷,凛冽·衣袍,胸部,法系输出
230,99433,秘星·星纱法衣破阵,幻光衣袍,胸部,法系输出
230,99434,秘星·星纱法衣无瑕,驭龙者之法衣,胸部,法系输出
230,99435,秘星·星纱束带洞察,擎天腰链,腰部,法系输出
230,99436,秘星·星纱束带迅捷,秩序之腰链,腰部,法系输出
230,99437,秘星·星纱束带破阵,破晓腰带,腰部,法系输出
230,99438,秘星·星纱束带无瑕,秘法之腰带,腰部,法系输出
230,99439,秘星·星纱腿卫洞察,战争领主战裙,腿部,法系输出
230,99440,秘星·星纱腿卫迅捷,圣贤长裤,腿部,法系输出
230,99441,秘星·星纱腿卫破阵,荣光裤腿,腿部,法系输出
230,99442,秘星·星纱腿卫无瑕,生长战裙,腿部,法系输出
230,99443,秘星·星纱战靴洞察,寒霜布靴,脚部,法系输出
230,99444,秘星·星纱战靴迅捷,安戈洛之护足,脚部,法系输出
230,99445,秘星·星纱战靴破阵,冬拥湖足具,脚部,法系输出
230,99446,秘星·星纱战靴无瑕,魔铁长靴,脚部,法系输出
230,99447,秘星·星纱腕轮洞察,命轮·腕轮,腕部,法系输出
230,99448,秘星·星纱腕轮迅捷,护臂·蓝龙,腕部,法系输出
230,99449,秘星·星纱腕轮破阵,卡拉赞日蚀护臂,腕部,法系输出
230,99450,秘星·星纱腕轮无瑕,幽影镇海腕轮,腕部,法系输出
230,99451,秘星·星纱护手洞察,冰封护手,手部,法系输出
230,99452,秘星·星纱护手迅捷,镇魂使之手套,手部,法系输出
230,99453,秘星·星纱护手破阵,神恩之手套,手部,法系输出
230,99454,秘星·星纱护手无瑕,天启者净世手套,手部,法系输出
230,99455,秘星·荒野冠冕洞察,破界头盔,头部,法系输出
230,99456,秘星·荒野冠冕迅捷,祖尔法拉克月刃战盔,头部,法系输出
230,99457,秘星·荒野冠冕破阵,风暴峭壁晨星面甲,头部,法系输出
230,99458,秘星·荒野冠冕无瑕,精金头盔,头部,法系输出
230,99459,秘星·荒野肩卫洞察,月刃之披肩,肩部,法系输出
230,99460,秘星·荒野肩卫迅捷,赞加沼泽天火披肩,肩部,法系输出
230,99461,秘星·荒野肩卫破阵,守望者之肩甲,肩部,法系输出
230,99462,秘星·荒野肩卫无瑕,天穹冻结肩铠,肩部,法系输出
230,99463,秘星·荒野法衣洞察,凛冬战衣,胸部,法系输出
230,99464,秘星·荒野法衣迅捷,自然·胸甲,胸部,法系输出
230,99465,秘星·荒野法衣破阵,源质胸甲,胸部,法系输出
230,99466,秘星·荒野法衣无瑕,轮回降世战衣,胸部,法系输出
230,99467,秘星·荒野束带洞察,咒纹腰带,腰部,法系输出
230,99468,秘星·荒野束带迅捷,苍穹·战带,腰部,法系输出
230,99469,秘星·荒野束带破阵,玄冰扣带,腰部,法系输出
230,99470,秘星·荒野束带无瑕,裁决者腰带,腰部,法系输出
230,99471,秘星·荒野腿卫洞察,晶歌森林玄铁护腿,腿部,法系输出
230,99472,秘星·荒野腿卫迅捷,咒纹·战裙,腿部,法系输出
230,99473,秘星·荒野腿卫破阵,潜行者缚龙护腿,腿部,法系输出
230,99474,秘星·荒野腿卫无瑕,织法者腿甲,腿部,法系输出
230,99475,秘星·荒野战靴洞察,灰熊丘陵群星战靴,脚部,法系输出
230,99476,秘星·荒野战靴迅捷,护足·奥术,脚部,法系输出
230,99477,秘星·荒野战靴破阵,焚烧踏靴,脚部,法系输出
230,99478,秘星·荒野战靴无瑕,秘术护足,脚部,法系输出
230,99479,秘星·荒野腕轮洞察,黑翼之巢血月臂甲,腕部,法系输出
230,99480,秘星·荒野腕轮迅捷,护臂·幻影,腕部,法系输出
230,99481,秘星·荒野腕轮破阵,镇岳护臂,腕部,法系输出
230,99482,秘星·荒野腕轮无瑕,地狱火半岛之护臂,腕部,法系输出
230,99483,秘星·荒野护手洞察,冰冠堡垒护手,手部,法系输出
230,99484,秘星·荒野护手迅捷,蚀日之手套,手部,法系输出
230,99485,秘星·荒野护手破阵,冬拥湖之护手,手部,法系输出
230,99486,秘星·荒野护手无瑕,赤焰破天手甲,手部,法系输出
230,99487,秘星·雷纹冠冕洞察,虚空风暴命轮面甲,头部,法系输出
230,99488,秘星·雷纹冠冕迅捷,兜帽·幻光,头部,法系输出
230,99489,秘星·雷纹冠冕破阵,奥术头冠,头部,法系输出
230,99490,秘星·雷纹冠冕无瑕,秘术头盔,头部,法系输出
230,99491,秘星·雷纹肩卫洞察,唤潮者镇渊肩卫,肩部,法系输出
230,99492,秘星·雷纹肩卫迅捷,潜行者之肩卫,肩部,法系输出
230,99493,秘星·雷纹肩卫破阵,屠龙者肩卫,肩部,法系输出
230,99494,秘星·雷纹肩卫无瑕,安戈洛肩铠,肩部,法系输出
230,99495,秘星·雷纹法衣洞察,太古战衣,胸部,法系输出
230,99496,秘星·雷纹法衣迅捷,星轨护胸,胸部,法系输出
230,99497,秘星·雷纹法衣破阵,惊涛护甲,胸部,法系输出
